Y,X,Name,Name 
26.55055,-78.55116,BARBARY BEACH,
26.6134,-78.8947,BOOTLE BAY BEACH,
26.49264,-78.70031,CARAVEL BEACH,
26.49928135,-78.65553354,CORAL BEACH,
26.65681,-77.98539,CRABBING BAY BEACH,
26.58412,-78.8658,CRYSTAL BEACH,
26.54221,-78.57364,DISCOVERY BAY BEACH,
26.53934,-78.58431,FORTUNE BEACH,
26.60207724,-78.39970261,GOLD ROCK BEACH,
26.62134,-78.28639,HIGH ROCK BEACH,
26.521536,-78.780919,LOVERS BEACH,
26.51018323,-78.64081432,LUCAYA BEACH,
26.70118,-78.9895,OLD BAHAMA BAY BEACH,
26.579288,-78.86446,PARADISE COVE BEACH,
26.55869,-78.53391,PETERSON BEACH,
26.49274,-78.713539,PRINCESS ISLES BEACH,
26.56804048,-78.49644694,SHARP ROCK BEACH,
26.52146354,-78.61670213,SMITH'S POINT BEACH,
26.59051,-78.44705,SOUTH RIDING POINT,
26.51926501,-78.62078113,TAINO BEACH,
26.49582629,-78.67281781,WILLIAMS TOWN BEACH,
26.49396,-78.7059,XANADU BEACH,
26.55055,-78.55116,BARBARY BEACH,
26.6134,-78.8947,BOOTLE BAY BEACH,
26.49264,-78.70031,CARAVEL BEACH,
26.49928135,-78.65553354,CORAL BEACH,
26.65681,-77.98539,CRABBING BAY BEACH,
26.58412,-78.8658,CRYSTAL BEACH,
26.54221,-78.57364,DISCOVERY BAY BEACH,
26.53934,-78.58431,FORTUNE BEACH,
26.60207724,-78.39970261,GOLD ROCK BEACH,
26.62134,-78.28639,HIGH ROCK BEACH,
26.521536,-78.780919,LOVERS BEACH,
26.51018323,-78.64081432,LUCAYA BEACH,
26.70118,-78.9895,OLD BAHAMA BAY BEACH,
26.579288,-78.86446,PARADISE COVE BEACH,
26.55869,-78.53391,PETERSON BEACH,
26.49274,-78.713539,PRINCESS ISLES BEACH,
26.56804048,-78.49644694,SHARP ROCK BEACH,
26.52146354,-78.61670213,SMITH'S POINT BEACH,
26.59051,-78.44705,SOUTH RIDING POINT,
26.51926501,-78.62078113,TAINO BEACH,
26.49582629,-78.67281781,WILLIAMS TOWN BEACH,
26.49396,-78.7059,XANADU BEACH,
26.5648750118244,-78.8491344451904,HOLMES ROCK BEACH,
26.5344990863293,-78.5932517051697,CHURCHILL BEACH,
26.4908934215305,-78.6898756027222,TYNE BEACH,
26.4974564505161,-78.6670097708702,SILVER POINT BEACH,
26.5931898315798,-78.8761389255524,BAHAMA BEACH,
26.6115700858784,-78.3369934558868,BASSETT COVE BEACH,
26.6141791519052,-78.3224451541901,,BEVANS TOWN BEACH
26.5317346217164,-78.5972213745117,MATHER TOWN BEACH,
