Subdiv,Block,Unit,Shape_Leng,Shape_Area
Arden Forest,1,1,367.471928041,8334.11522258
Arden Forest,1,4,931.018874607,42905.2151246
Arden Forest,1,5,2916.78258174,80388.953862
Arden Forest,10,4,1306.47466226,52621.0059659
Arden Forest,10,5,2053.47646072,64650.5558438
Arden Forest,11,4,1185.64087756,41318.7222317
Arden Forest,12,4,1166.59039224,27902.7540129
Arden Forest,12,5,713.290700707,32475.0363643
Arden Forest,13,2,643.085084345,22341.8850916
Arden Forest,14,2,848.983493874,28587.5724479
Arden Forest,15,2,207.886768232,2701.0267994
Arden Forest,16,2,1431.63802208,41650.5678963
Arden Forest,17,2,1206.91133732,51256.5408828
Arden Forest,18,2,386.23534249,6950.67260374
Arden Forest,19,2,757.325584477,21944.9721437
Arden Forest,2,1,1405.77826083,54170.8219089
Arden Forest,2,4,1063.5869631,33428.3863688
Arden Forest,2,5,966.885035592,40507.4011397
Arden Forest,20,2,386.400444384,6772.50388651
Arden Forest,21,2,704.678808146,23799.4602804
Arden Forest,22,2,559.032653419,17354.7199763
Arden Forest,23,2,1366.17015677,42067.1480537
Arden Forest,24,6,1211.46109364,35111.8722723
Arden Forest,25,6,574.700422725,20406.9508221
Arden Forest,3,1,595.228015239,19535.1300522
Arden Forest,3,4,1172.12760013,34514.8165158
Arden Forest,3,5,480.531030248,14674.216916
Arden Forest,4,1,1110.03423159,40981.1844977
Arden Forest,4,4,575.928145047,18292.2878108
Arden Forest,4,5,1732.20148974,40190.0024068
Arden Forest,5,1,706.637384412,24310.3612307
Arden Forest,5,4,917.108415387,30639.4489554
Arden Forest,5,5,620.578543342,13595.8783671
Arden Forest,6,1,463.072793216,11861.3712463
Arden Forest,6,4,1230.82887764,37618.2200642
Arden Forest,6,5,862.90739358,25993.7861789
Arden Forest,7,1,407.581002363,7393.4430998
Arden Forest,7,5,679.471002281,20690.6999331
Arden Forest,8,1,751.707319104,14572.284102
Arden Forest,8,5,1042.10107581,32103.2540971
Arden Forest,9,4,1103.37205859,40814.3499603
Arden Forest,A,1,502.513672121,9859.42813467
Arden Forest,B,1,778.583536766,15768.7076436
Bahama Reef,1,,1518.08409456,32459.3576547
Bahama Reef,10,,5722.88270232,109608.309574
Bahama Reef,12,,3564.84381708,74145.0615873
Bahama Reef,13,,1978.88049319,41230.0176364
Bahama Reef,2,,3351.80688579,72515.4215366
Bahama Reef,3,,4471.17691799,88754.8027526
Bahama Reef,4,,1.7363098923,0.10606034385
Bahama Reef,4,,1747.58176988,33565.1143686
Bahama Reef,5,,4292.39990083,82339.3188789
Bahama Reef,6,,1133.11208726,26904.4195628
Bahama Reef,7,,1216.03415104,29567.5907554
Bahama Reef,8,,2422.55591766,52804.4334894
Bahama Reef,9,,2181.5159334,43070.3784665
Bahamia North,AN,,573.785853894,17604.3024548
Bahamia North,BN,,218.618043122,2876.13859113
Bahamia North,CN,,1868.36940801,38001.0760847
Bahamia North,DN,,2164.89996405,59515.4274314
Bahamia North,EN,,1569.95983484,33808.0276026
Bahamia North,FN,,2230.24591127,48614.5368219
Bahamia North,GN,,2624.53929524,78817.3669094
Bahamia North,IN,,827.714256998,24898.5500006
Bahamia North,KN,,1713.25429935,57525.0901949
Bahamia North,LN,,3017.12889807,96968.045148
Bahamia North,MN,,489.163474391,14017.5470717
Bahamia North,NN,,518.684927243,13527.0482317
Bahamia North,ON,,883.155645588,21661.8929901
Bahamia North,PN,,558.418913627,16696.4549306
Bahamia North,RN,,478.631710543,13157.9672074
Bahamia North,SN,,2206.05593595,54112.9778766
Bahamia North,TN,,474.271413956,9180.72867807
Bahamia North,UN,,877.372286935,22496.1419751
Bahamia North,VN,,580.363776778,15360.1134604
Bahamia North,WN,,2289.97106739,69616.6305656
Bahamia North,XN,,514.082751329,12963.7930958
Bahamia South,1,,2442.31169307,112162.550659
Bahamia South,10,,1281.91715643,35395.4974894
Bahamia South,11,,890.573301023,23660.9445849
Bahamia South,12,,3383.1715168,122043.26649
Bahamia South,13,,4095.96759277,188796.964524
Bahamia South,14,,1391.5561989,24018.4781551
Bahamia South,15,,859.449063015,19425.5291734
Bahamia South,16,,2623.04419545,79449.2877121
Bahamia South,2,,2315.63177125,92366.2926397
Bahamia South,20,,504.628846659,13233.9771315
Bahamia South,21,,2302.86667455,84110.9342311
Bahamia South,24,,1920.30688845,34651.1557451
Bahamia South,25,,1282.20954759,29750.1838423
Bahamia South,26,,2938.26091791,85731.2137329
Bahamia South,27,,4498.86880014,136940.134925
Bahamia South,28,,476.881126622,15701.4317645
Bahamia South,29,,1002.24974808,42549.5576901
Bahamia South,3,,1657.20544404,60982.2628964
Bahamia South,30,,2102.39686048,69646.1087987
Bahamia South,33,,1922.4374149,80733.203454
Bahamia South,34,,1542.95469421,63193.4115999
Bahamia South,35,,491.718544245,5772.12012964
Bahamia South,36,,1269.76749097,29780.5046577
Bahamia South,38,,798.399506829,11105.2843661
Bahamia South,39,,657.814722888,11552.2697041
Bahamia South,4,,2327.26410744,94216.4798246
Bahamia South,40,,961.483481459,21316.2735087
Bahamia South,41,,6410.79283751,247021.412824
Bahamia South,5,,962.646390446,29032.0143985
Bahamia South,6,,959.164693974,57249.2147822
Bahamia South,60,,1635.43896917,148777.632475
Bahamia South,7,,1078.66271071,40635.0671458
Bahamia South,8,,2524.02915233,133972.01498
Bahamia South,9,,1851.46829667,82871.7284389
Bahamia South,A,,798.777103039,15367.5847466
Bahamia South,B,,2311.886904,67620.7811148
Bahamia South,C,,1130.61784375,25105.8155078
Bahamia South,D,,1003.99613558,36507.991053
Bahamia South,E,,3053.6688419,69019.1366357
Bahamia South,F,,1165.81186749,45426.8304039
Bahamia South,G,,746.514147552,26079.7019822
Bahamia South,H,,917.820459334,27689.7413621
Bahamia South,J,,724.756603391,24595.7459209
Bahamia South,K,,1179.06809502,24233.8916522
Bahamia South,L,,688.267030055,24099.4791288
Bahamia South,M,,473.711741101,8591.36711273
Bahamia South,N,,702.803582915,14542.9656134
Bahamia South,O,,701.811180699,24168.3800179
Bahamia South,P,,1713.33934399,39645.2956466
Bahamia South,Q,,1108.69396374,44900.5354313
Bahamia South,S,,873.812909879,23897.5319855
Bahamia South,SS,,1801.93174369,43882.1016466
Bahamia South,T,,1407.98397369,57957.1020453
Bahamia South,TT,,846.761779582,27024.0987778
Bahamia South,U,,676.82217724,23731.009806
Bahamia South,UU,,500.905231081,10988.925001
Bahamia South,VV,,783.792714247,14968.2809005
Bahamia South,W,,718.50154262,14202.8342092
Bahamia South,WW,,779.00085351,15886.7396747
Bahamia South,XX,,1384.24583882,30189.5634781
Bahamia South,YY,,1070.95175543,42996.4461086
Bahamia South,ZZ,,1329.23661971,54842.0632356
Bahamia West,1,,1428.73693922,25322.0712523
Bahamia West,10,,1138.92053921,18116.5838224
Bahamia West,11,,569.82716251,10162.563146
Bahamia West,12,,431.373787722,6855.12323195
Bahamia West,13,,735.432323144,22207.2073037
Bahamia West,14,,1302.47634396,25274.2991611
Bahamia West,17,,2322.41618549,56069.2753704
Bahamia West,18,,2581.89267523,52542.3867611
Bahamia West,19,,6219.25307773,131528.810884
Bahamia West,2,,1184.30255832,20112.0946473
Bahamia West,20,,3380.2604441,74169.1670284
Bahamia West,21,,5448.04035333,109833.344333
Bahamia West,22,,8003.63941866,218162.757983
Bahamia West,23,,2048.32894262,49890.3485881
Bahamia West,4,,2756.32783032,72798.7033864
Bahamia West,5,,4988.30412716,101114.795062
Bahamia West,6,,4583.35531315,104019.166798
Bahamia West,7,,9784.76124557,223057.379715
Bahamia West,8,,1152.38487548,35879.617282
Barbary Beach,1,,1285.83966206,59349.5881749
Barbary Beach,10,,651.046805496,25299.8519639
Barbary Beach,11,,1425.59506499,57974.7314763
Barbary Beach,12,,1075.03388565,52060.1097536
Barbary Beach,13,,1784.37482566,46598.5646699
Barbary Beach,14,,1430.29945428,61669.4193012
Barbary Beach,15,,1738.10334851,58725.0710123
Barbary Beach,16,,1844.76098146,59693.4094865
Barbary Beach,2,,1363.3566546,41450.601499
Barbary Beach,4,,2229.07632132,70464.1978691
Barbary Beach,5,,762.928185858,33531.5887883
Barbary Beach,6,,1314.28136492,65096.7516049
Barbary Beach,7,,1956.18342057,55452.5247497
Barbary Beach,8,,1385.61998155,75515.0581891
Barbary Beach,9,,1954.18836994,51927.6564184
Barbary Coast,1,1,2988.11699015,91106.570769
Barbary Coast,1,2,998.154049424,35765.5852421
Barbary Coast,1,3,5820.47404717,189323.108207
Barbary Coast,1,4,6277.51252403,318656.735377
Barbary Coast,1,5,3644.09626116,150437.316708
Barbary Coast,1,6,7703.86296444,270438.191336
Barbary Coast,1,9,642.258703308,9092.85106129
Barbary Coast,10,2,471.349125735,8251.3322397
Barbary Coast,11,2,3587.62220869,90655.1271671
Barbary Coast,12,2,2703.24024282,56899.2346954
Barbary Coast,13,2,2739.11199493,55569.573354
Barbary Coast,14,2,952.542770127,18471.7260121
Barbary Coast,15,2,789.736322895,14331.1595416
Barbary Coast,16,2,2430.02028137,49968.3451108
Barbary Coast,17,2,1503.45331623,31064.2302154
Barbary Coast,18,2,4105.64584658,91719.5676608
Barbary Coast,19,2,1128.41390043,21869.1810097
Barbary Coast,2,1,7197.85080793,372610.741886
Barbary Coast,2,2,1180.16668604,44970.3388336
Barbary Coast,2,3,10105.2262891,305490.551507
Barbary Coast,2,6,1162.9215257,30139.9765377
Barbary Coast,3,2,662.907955859,21377.1877219
Barbary Coast,3,3,600.29950607,14449.8356198
Barbary Coast,3,6,797.12245893,19938.762693
Barbary Coast,4,2,659.54669384,21157.6441081
Barbary Coast,4,3,2860.60394424,103991.814533
Barbary Coast,4,6,551.744932741,14590.4509247
Barbary Coast,4,7,1629.70952085,33206.2848033
Barbary Coast,5,2,1893.68588033,37552.863854
Barbary Coast,5,3,1345.33244092,67769.0200168
Barbary Coast,5,6,385.654247818,9165.74697587
Barbary Coast,5,7,1141.48846097,40850.0653215
Barbary Coast,6,2,1837.99288608,73072.0123077
Barbary Coast,6,6,974.497500321,24552.386358
Barbary Coast,6,7,1317.06650508,47855.291636
Barbary Coast,7,2,1055.49817844,38041.5189275
Barbary Coast,7,6,2197.8704214,63675.8022708
Barbary Coast,7,7,922.540142318,30715.415631
Barbary Coast,8,2,1415.32068733,55667.1738974
Barbary Coast,8,7,840.501637771,16832.51956
Barbary Coast,9,2,725.463183319,24184.8775735
Bell Channel Bay,1,1,1962.78352397,41519.002646
Bell Channel Bay,10,4,3195.02247958,104400.118459
Bell Channel Bay,11,4,1929.79631359,58660.0454715
Bell Channel Bay,12,4,1895.95891747,54378.332467
Bell Channel Bay,13,4,1117.29058813,30667.7596302
Bell Channel Bay,14,4,1090.93932675,23516.219561
Bell Channel Bay,2,1,2081.31964758,43979.1101885
Bell Channel Bay,3,2,1072.46906732,21139.5228709
Bell Channel Bay,4,2,463.64456197,9685.32852357
Bell Channel Bay,5,2,945.727377842,22953.012509
Bell Channel Bay,6,3,785.862140695,23657.611653
Bell Channel Bay,7,3,946.129499809,20510.5719229
Bell Channel Bay,8,3,1725.1951778,44779.3381049
Bell Channel Bay,9,4,1204.04979296,44038.6938315
Bristol Bay,1,1,4764.55463844,144449.162275
Bristol Bay,10,2,904.970612843,31517.724391
Bristol Bay,11,2,1469.70947984,60359.1993419
Bristol Bay,12,2,1271.54523267,26529.7422191
Bristol Bay,2,1,568.932501677,17845.5547813
Bristol Bay,3,1,1163.05094711,45463.6520719
Bristol Bay,4,1,869.596433469,32411.4739986
Bristol Bay,9,2,1814.88277172,74086.0761221
Cannon Bay,1,1,8630.79083767,265235.718809
Cannon Bay,2,1,1941.28446971,51796.5887404
Cannon Bay,3,2,8215.25508195,251338.10007
Caravelle Bay,27,,9043.0346206,257506.8486
Central Area,,,1756.22355273,57425.4025049
Central Area,,,650.77904981,22571.1319947
Central Area,A,,1328.0947589,79215.5556324
Central Area,B,,1098.93293638,72142.6174401
Central Area,C,,1491.74611096,76896.9931148
