Y,X,Date_,Time,Year_of_Ma,Street,Colour,Number_of_,Main_Valve,Height_of_,Style,GPS_Date,GPS_Time
26.5266622538584,-78.7397507473441,,04:09:12pm,2013/04/23,Fishing hole road,Red,Three,,,Dry Barrel,2013/04/23,04:09:14pm
26.5160737626095,-78.7340777778588,,04:15:43pm,2013/04/23,Abaco Drive,No Paint,One,,,Standpipe,2013/04/23,04:15:45pm
26.5160328527734,-78.735388657842,,04:18:54pm,2013/04/23,Abaco Drive,No Paint,One,2.5,4ft,Standpipe,2013/04/23,04:18:55pm
26.5159245846552,-78.7369039232997,,04:21:45pm,2013/04/23,Abaco Drive,No Paint,One,2.5,2ft,Standpipe,2013/04/23,04:21:46pm
26.5157240150981,-78.7383449642906,,04:23:58pm,2013/04/23,Abaco Drive,No Paint,One,2.5,1ft,Standpipe,2013/04/23,04:23:59pm
26.515511873022,-78.7397340638176,,04:26:01pm,2001/05/18,Eleuthera Drive,Red,Three,,3ft,Dry Barrel,2013/04/23,04:26:02pm
26.5088615681345,-78.7399151657414,,04:37:12pm,2006/04/23,Jumbay Dribe,Red,Three,4.5,1ft,Dry Barrel,2013/04/23,04:37:13pm
26.5094757597057,-78.7356661755018,,04:42:06pm,2006/04/23,Pine Road,Red,Three,5.25,2ft,Dry Barrel,2013/04/23,04:42:08pm
26.5081349180133,-78.7342535753154,,04:46:06pm,2006/04/23,Jumbay Drive,Red,Three,5.25,2ft,Dry Barrel,2013/04/23,04:46:09pm
26.5081800342239,-78.7373732620022,,04:49:44pm,2006/04/23,Jumbay Drive,Red,Three,5.25,1ft,Dry Barrel,2013/04/23,04:49:46pm
26.5117293331157,-78.7316303314475,,04:56:26pm,2006/04/23,Westwind Road,Red,Three,5.25,.255,Dry Barrel,2013/04/23,04:56:28pm
26.5114755299606,-78.7347196541326,,05:01:12pm,2006/04/23,Westwind Road,Red,Three,5.25,1.5ft,Dry Barrel,2013/04/23,05:01:14pm
26.5124805027226,-78.7300922487851,,05:04:46pm,2003/04/23,Westport Way,Red,Three,5.25,2ft,Dry Barrel,2013/04/23,05:04:48pm
26.5139720382078,-78.7303785352491,,05:10:13pm,2001/04/23,Westport Way,Red,Three,5.25,2ft,Dry Barrel,2013/04/23,05:10:15pm
26.5162521937334,-78.7305474003924,,05:15:16pm,2001/04/23,Westport Way,Red,Three,5.25,2.5ft,Dry Barrel,2013/04/23,05:15:19pm
26.5182548230301,-78.7529976984063,,05:24:33pm,2013/04/23,Sunrise Highway,No Paint,One,4.5,3ft,Standpipe,2013/04/23,05:25:28pm
26.525597671439,-78.7373698624015,,05:29:51pm,2007/04/23,Queens Highway,Red,Three,5.25,3ft,Dry Barrel,2013/04/23,05:29:54pm
26.5359425037741,-78.7169238257404,,05:34:11pm,1977/04/23,Thackery,Red,Three,4.5,2.5,Dry Barrel,2013/04/23,05:34:13pm
26.5374936859541,-78.7141200635424,,05:36:42pm,1971/04/23,Queens Highway,Red,Three,4.5,2.5ft,Dry Barrel,2013/04/23,05:36:45pm
26.5400191928179,-78.7095596174153,,05:40:24pm,1971/04/23,Queens Highway,Red,Three,4.5,2.5ft,Dry Barrel,2013/04/23,05:40:26pm
26.5411760733464,-78.7068726393904,,05:43:24pm,1971/04/23,Queens Highway,Red,Three,4.5,2.5ft,Dry Barrel,2013/04/23,05:43:26pm
26.5427740218084,-78.7030383224593,,05:46:57pm,1971/04/23,Queens Highway,Red,Three,4.5,2.5ft,Dry Barrel,2013/04/23,05:48:18pm
26.5429623514882,-78.7021594737857,,05:50:13pm,2013/04/23,Queens Highway,Red,One,2,2.5,Standpipe,2013/04/23,05:50:18pm
26.5407463670862,-78.6963711961073,,05:55:12pm,2001/04/23,Cedar Street,Red,Three,4.5,2.5ft,Dry Barrel,2013/04/23,05:55:14pm
26.5360052271007,-78.6964307823666,,06:00:03pm,1986/04/23,West Mall Drive,Red,Three,4.5,2.5ft,Dry Barrel,2013/04/23,06:00:05pm
26.534310361685,-78.6958049843526,,06:03:38pm,2011/04/23,Explorers Way,Red,Three,5.25,2ft,Dry Barrel,2013/04/23,06:06:05pm
26.5185670853626,-78.7277632178524,,04:32:34pm,2007/04/24,Aintree Drive,Red,Three,5.25,1.5ft,Dry Barrel,2013/04/24,04:32:35pm
26.5193526815091,-78.7235134148095,,04:37:42pm,1997/04/24,Brompton Road,Red,Three,5.25,2ft,Dry Barrel,2013/04/24,04:37:43pm
26.520146660381,-78.7258472233954,,04:40:32pm,2007/04/24,Seymour Drive,No Paint,Three,6,1.5ft,Dry Barrel,2013/04/24,04:40:33pm
26.5091389909005,-78.7088147796604,,04:59:42pm,2006/04/24,Trade Winds Drive,Red,Three,5.25,1.5,Dry Barrel,2013/04/24,04:59:44pm
26.5018476661652,-78.700497716795,,05:08:20pm,2006/04/24,Santa Maria,Red,Three,5.25,2ft,Dry Barrel,2013/04/24,05:08:22pm
