OBJECTID,LENGTH,PREFIX,ST_NAME,SUFFIX,ONEWAY,ST_TYPE,ROW,len,Shape_Leng
595,279.14448859000,,Bobbington,Drive,0,Minor,50,0.00000000000,279.14439988700
596,184.74566851000,,Bobbington,Street,0,Minor,50,0.00000000000,184.74570645200
597,299.28770817000,,Bobbington,Road,0,Minor,50,0.00000000000,299.28768956900
598,181.60617391000,,Bobbington,Street,0,Minor,50,0.00000000000,181.60606195000
599,211.93288284000,,Bobbington,Court,0,Minor,50,0.00000000000,211.93310086600
600,194.63892499000,,Blakelands,Avenue,0,Minor,50,0.00000000000,194.63878925100
601,297.84364312000,,Blakelands,Avenue,0,Minor,50,0.00000000000,297.84372765200
602,430.79096374000,,Blakelands,Road,0,Minor,50,0.00000000000,430.79091890100
603,147.67715160000,,Bromley,Court,0,Minor,50,0.00000000000,147.67705545100
604,20.86469470000,,Brockmoor,Drive,0,Minor,50,0.00000000000,20.86471755040
605,298.37816937000,,Brockmoor,Drive,0,Minor,50,0.00000000000,298.37821935400
606,186.71780950000,,Brockmoor,Drive,0,Minor,50,0.00000000000,186.71789321300
607,429.44079460000,,Brockmoor,Lane,0,Minor,50,0.00000000000,429.44092239500
608,188.43089713000,,Brockmoor,Avenue,0,Minor,50,0.00000000000,188.43103374000
609,209.69508074000,,Chesterfield House,Drive,0,Major,80,0.00000000000,209.69492822200
610,155.92993534000,,Chesterfield House,Drive,0,Major,80,0.00000000000,155.92991304700
611,185.60978166000,,Chesterfield House,Drive,0,Major,80,0.00000000000,185.60978177600
612,481.36946912000,,Chesterfield House,Drive,0,Major,80,0.00000000000,481.36945536700
613,423.10251895000,,Blackheath,Drive,0,Minor,50,0.00000000000,423.10241411500
614,307.28870824000,,Blakeshall,Lane,0,Minor,50,0.00000000000,307.28872170400
615,185.92527717000,,Blakeshall,Lane,0,Minor,50,0.00000000000,185.92518122100
616,182.98801136000,,Boltongate,Drive,0,Minor,60,0.00000000000,182.98802556800
617,188.15984771000,,Boltongate,Drive,0,Minor,60,0.00000000000,188.15989839700
618,186.82769299000,,Boltongate,Drive,0,Minor,60,0.00000000000,186.82771908500
619,185.39092025000,,Boltongate,Drive,0,Minor,60,0.00000000000,185.39106131800
620,180.88016028000,,Boltongate,Drive,0,Minor,60,0.00000000000,180.87996772000
621,181.94885321000,,Boltongate,Drive,0,Minor,60,0.00000000000,181.94888916000
622,240.88922502000,,Boltongate,Drive,0,Minor,60,0.00000000000,240.88874237500
623,233.84735866000,,Boltongate,Drive,0,Minor,60,0.00000000000,233.84733092300
624,302.48793170000,,Brayton,Road,0,Minor,50,0.00000000000,302.48782301200
625,171.86866337000,,Brayton,Road,0,Minor,50,0.00000000000,171.86864481700
626,10.49160283000,,Brayton,Road,0,Minor,50,0.00000000000,10.49156990590
627,9.63203099000,,Brayton,Road,0,Minor,50,0.00000000000,9.63212482155
628,268.89332904000,,Blakenhall,Road,0,Minor,50,0.00000000000,268.89248703900
629,178.14124553000,,Blakenhall,Road,0,Minor,50,0.00000000000,178.14128764300
630,1062.99979266000,North,Perimeter,Parkway,0,Arterial,125,0.00000000000,1062.99906282000
631,498.78451832000,,Chasepool,Lane,0,Minor,50,0.00000000000,498.78454173900
632,211.89866090000,,Crossmoor,,0,Minor,50,0.00000000000,211.89852198600
633,465.61786320000,,Compton,Lane,0,Minor,50,0.00000000000,465.61789183100
634,367.92635632000,,Dale Head,Road,0,Minor,60,0.00000000000,367.92637793500
635,185.20248336000,,Dale Head,Road,0,Minor,60,0.00000000000,185.20245671800
636,225.17554882000,,Dale Head,Road,0,Minor,60,0.00000000000,225.17567715100
637,162.89135550000,,Dale Head,Road,0,Minor,60,0.00000000000,162.89116909300
638,518.49678118000,,Boltongate,Drive,0,Minor,60,0.00000000000,518.49657780300
639,184.02940272000,,Boltongate,Drive,0,Minor,60,0.00000000000,184.02960946200
640,193.83840724000,,Dayhouse,Road,0,Minor,50,0.00000000000,193.83827501400
641,185.75748500000,,Dayhouse,Road,0,Minor,50,0.00000000000,185.75750207900
642,216.04641727000,,Draycott,Lane,0,Minor,50,0.00000000000,216.04646008400
643,259.90747172000,,Draycott,Lane,0,Minor,50,0.00000000000,259.90732783100
644,230.04718702000,,Drakelow,Lane,0,Minor,50,0.00000000000,230.04739237500
645,187.69324940000,,Drakelow,Lane,0,Minor,50,0.00000000000,187.69323604900
646,318.13096715000,,Ennerdale,Road,0,Minor,60,0.00000000000,318.13100323700
647,493.43897757000,,Calcote,Lane,0,Minor,50,0.00000000000,493.43906683800
648,322.14712880000,,Clent,Lane,0,Minor,50,0.00000000000,322.14713128000
649,21.01862043000,,Clent,Lane,0,Minor,50,0.00000000000,21.01870264920
650,179.03004318000,,Clent,Lane,0,Minor,50,0.00000000000,179.02999489900
651,213.99717878000,,Ennerdale,Road,0,Minor,60,0.00000000000,213.99710763400
652,113.14915501000,,Ennerdale,Road,0,Minor,60,0.00000000000,113.14930515100
653,484.46733268000,,Cradley,Lane,0,Minor,50,0.00000000000,484.46739473900
654,131.81294170000,,International,Parkway,0,Arterial,50,0.00000000000,131.81300018000
655,179.35882260000,,Seaville,Drive,0,Arterial,100,0.00000000000,179.35886762400
656,240.62279587000,,Seaville,Drive,0,Arterial,100,0.00000000000,240.62271221900
657,21.41727246000,,Bath,Road,0,Minor,50,0.00000000000,21.41730361060
658,589.24793959000,,Bath,Road,0,Minor,50,0.00000000000,589.24641481300
659,22.61778400000,,Bath,Road,0,Minor,50,0.00000000000,22.61769481970
660,164.36202631000,,Bath,Road,0,Minor,50,0.00000000000,164.36182277900
661,445.31232578000,,Bath,Drive,0,Minor,60,0.00000000000,445.31193700000
662,179.47656462000,,Bath,Drive,0,Minor,60,0.00000000000,179.47566486600
663,17.52154810000,,Bath,Drive,0,Minor,60,0.00000000000,17.52158858880
773,358.90312680000,,Thirlmere,Avenue,0,Minor,50,0.00000000000,358.90299794500
774,11.38209774000,,Uldale,Lane,0,Minor,50,0.00000000000,11.38214482730
775,397.01980234000,,Uldale,Lane,0,Minor,50,0.00000000000,397.01325361600
776,25.70856499000,,Uldale,Lane,0,Minor,50,0.00000000000,25.70695511670
777,70.20752577000,,Uldale,Drive,0,Minor,50,0.00000000000,70.20598749840
778,185.57573856000,,Uldale,Drive,0,Minor,50,0.00000000000,185.57583843400
1220,154.93794407000,,Brandgate,Road,0,Minor,50,0.00000000000,154.93609930100
1221,155.28549318000,,Melton Mowbray,Road,0,Minor,50,0.00000000000,155.28260251400
1222,154.42435300000,,Melton Mowbray,Road,0,Minor,50,0.00000000000,154.42255036100
1223,185.09534969000,East,Quorndon,Drive,0,Minor,60,0.00000000000,185.09520467100
1224,194.70124776000,East,Quorndon,Drive,0,Minor,60,0.00000000000,194.68527467000
1225,162.18902878000,East,Quorndon,Drive,0,Minor,60,0.00000000000,162.18892248300
1226,287.15086659000,East,Quorndon,Drive,0,Minor,60,0.00000000000,287.14928064200
1227,364.52281677000,,Crabb,Road,0,Minor,50,0.00000000000,364.52175533900
1228,132.94737712000,,Waterden,Road,0,Minor,50,0.00000000000,132.94750509400
1229,138.98095519000,,Waterden,Road,0,Minor,50,0.00000000000,138.98075313800
1230,398.93997801000,,Waterden,Road,0,Minor,50,0.00000000000,398.93685000900
1231,193.63327783000,,Burnham Thorpe,Lane,0,Minor,50,0.00000000000,193.62588053400
1232,701.98385703000,,Crabb,Road,0,Minor,50,0.00000000000,701.98176066300
1233,276.69404871000,,Crabb,Road,0,Minor,50,0.00000000000,276.69237948300
1234,137.96198892000,West,Quorndon,Drive,0,Minor,60,0.00000000000,137.96195428100
1235,177.81043298000,West,Quorndon,Drive,0,Minor,60,0.00000000000,177.81061376100
1236,201.95009431000,West,Quorndon,Drive,0,Minor,60,0.00000000000,201.94584956600
1237,379.61881800000,,Fosse,Way,0,Minor,60,0.00000000000,379.61787791500
1238,155.14262075000,,Fosse,Way,0,Minor,60,0.00000000000,155.14275803900
1239,185.02172251000,,Fosse,Way,0,Minor,60,0.00000000000,185.02098049700
1240,318.05242284000,,Branthill,Road,0,Minor,50,0.00000000000,318.05096530400
1241,486.87195164000,,Peterstone,Lane,0,Minor,50,0.00000000000,486.87089367700
1242,134.76966468000,,Peterstone,Lane,0,Minor,50,0.00000000000,134.76675910000
1243,296.50171583000,,Loughborough,Drive,0,Major,60,0.00000000000,296.50006294900
0,0.00000000000,,Medford,Court,0,Minor,0,0.00000000000,0.00000000000
1244,70.07874648000,,Loughborough,Drive,0,Major,60,0.00000000000,70.07835238360
1251,216.43489574000,,Gatesgill,Lane,0,Minor,50,0.00000000000,216.43336575300
1252,592.96794586000,,Glasson,Drive,0,Minor,50,0.00000000000,592.96494182100
1253,102.31598903000,,Glasson,Drive,0,Minor,50,0.00000000000,102.31435993300
1254,163.46717054000,,Glasson,Avenue,0,Minor,50,0.00000000000,163.46206952400
1255,186.26412760000,,Glasson,Avenue,0,Minor,50,0.00000000000,186.24065252400
1256,189.20153206000,,Charnwood Forest,Drive,0,Minor,60,0.00000000000,189.20039365900
1257,528.30370325000,,Charnwood Forest,Drive,0,Minor,60,0.00000000000,528.30198373800
1260,183.07729417000,,Charnwood Forest,Drive,0,Minor,60,0.00000000000,183.07720102500
1261,463.82478797000,,Charnwood Forest,Drive,0,Minor,60,0.00000000000,463.82309367800
1262,334.68088280000,,Charnwood Forest,Drive,0,Minor,60,0.00000000000,334.67934140700
1263,164.53981265000,,BosworthField,Drive,0,Minor,60,0.00000000000,164.53645831000
1264,184.30103318000,East,Holkham,Drive,0,Minor,80,0.00000000000,184.29623974000
